Designator,Mid X,Mid Y,Rotation,Layer
J1,95.355,49.975,270.0,top
J2,39.35,75.0,0.0,top
J3,72.42,12.5,90.0,top
J4,85.5,50.0,270.0,top
J6,39.25,25.0,180.0,top
R1,80.5,31.75,180.0,bottom
R2,80.5,30.0,180.0,bottom
R3,80.5,28.25,180.0,bottom
R4,80.5,26.5,180.0,bottom
R5,80.5,24.75,180.0,bottom
R6,80.5,23.0,180.0,bottom
R7,80.5,21.25,180.0,bottom
R8,80.5,19.5,180.0,bottom
